Round,Global_Accuracy,Client_0_Acc,Client_1_Acc,Client_2_Acc,Client_3_Acc,Client_4_Acc
1,0.9393939393939394,0.9682539682539683,0.9333333333333333,0.9861111111111112,0.9629629629629629,0.9666666666666667
2,0.9629629629629629,0.9682539682539683,0.9333333333333333,0.9305555555555556,1.0,0.9333333333333333
3,0.9461279461279462,0.9206349206349206,0.9555555555555556,0.9444444444444444,1.0,0.9333333333333333
4,0.9461279461279462,0.9047619047619048,0.9555555555555556,0.9722222222222222,1.0,0.9444444444444444
5,0.9494949494949495,0.9206349206349206,0.9555555555555556,0.9861111111111112,1.0,0.9555555555555556
6,0.9494949494949495,0.9206349206349206,0.9555555555555556,0.9722222222222222,1.0,0.9444444444444444
7,0.9461279461279462,0.9206349206349206,0.9555555555555556,0.9722222222222222,1.0,0.9666666666666667
8,0.9528619528619529,0.9206349206349206,0.9555555555555556,0.9722222222222222,1.0,0.9666666666666667
9,0.9461279461279462,0.9206349206349206,0.9555555555555556,0.9722222222222222,1.0,0.9666666666666667
10,0.9461279461279462,0.9206349206349206,0.9555555555555556,0.9444444444444444,1.0,0.9555555555555556
11,0.9696969696969697,0.9682539682539683,0.9555555555555556,0.9444444444444444,1.0,0.9555555555555556
12,0.9461279461279462,0.9206349206349206,0.9555555555555556,0.9861111111111112,1.0,0.9555555555555556
13,0.9494949494949495,0.9206349206349206,0.9555555555555556,0.9444444444444444,1.0,0.9555555555555556
14,0.9528619528619529,0.9206349206349206,0.9777777777777777,0.9861111111111112,1.0,0.9555555555555556
15,0.9461279461279462,0.9206349206349206,0.9555555555555556,0.9722222222222222,1.0,0.9555555555555556
